twin,pair,id,region,Ancestry,23andMe,MyHeritage
1A,1,A,NW Europe,0.9,0.676,0.647
1A,1,A,SE Europe,0.1,0.32,0.333
1B,1,B,NW Europe,0.9,0.691,0.687
1B,1,B,SE Europe,0.1,0.305,0.239
2A,2,A,West Africa,0.65,0.762,0.696
2A,2,A,Central Africa,0.22,0.076,0.12
2A,2,A,NW Europe,0.12,0.139,0.104
2A,2,A,SE Europe,0.01,0.006,0
2B,2,B,West Africa,0.64,0.76,0.688
2B,2,B,Central Africa,0.23,0.078,0.112
2B,2,B,NW Europe,0.12,0.131,0.106
2B,2,B,SE Europe,0.01,0.006,0
3A,3,A,NW Europe,0.99,0.987,0.992
3A,3,A,West Africa,0.01,0.07,0
3B,3,B,NW Europe,0.99,0.987,0.981
3B,3,B,West Africa,0.01,0.01,0
4A,4,A,West Africa,0.6,0.772,0.692
4A,4,A,Central Africa,0.27,0.076,0.076
4A,4,A,NW Europe,0.12,0.125,0.092
4B,4,B,West Africa,0.6,0.768,0.707
4B,4,B,Central Africa,0.27,0.08,0.068
4B,4,B,NW Europe,0.12,0.115,0.088
4B,4,B,East Asia,0.01,0.017,0
4B,4,B,SE Europe,0,0.009,0.094
5A,5,A,East Asia,1,1,0.978
5B,5,B,East Asia,1,1,0.973
6A,6,A,West Africa,0.62,0.636,0.61
6A,6,A,NW Europe,0.23,0.245,0.251
6A,6,A,Central Africa,0.12,0.1,0.11
6A,6,A,East Asia,0.01,0.006,0
6B,6,B,West Africa,0.62,0.634,0.624
6B,6,B,NW Europe,0.23,0.247,0.25
6B,6,B,Central Africa,0.13,0.1,0.089
6B,6,B,East Asia,0.01,0.006,0
